id,Translation
343,"desagradable".
344,"molesto, vejatorio, burlón, plaguicida, pesticida, molesto, molesto, ortigas, irritante, irritante, molesto, fastidioso,"
345,"duro, abrasivo".
346,"difícil, estresante, estresante, estresante, estresante".
347,"no dulce".
348,"vigilante, alerta".
349,"despierto, vigilante, con los ojos abiertos, con los ojos de un hombre".
350,"volar".
351,"Despierta, avisa".
352,"insomnio, sin tapa".
353,"no vigilante, no vigilante, no alerta".
354,"transferible, transferible, negociable, transmisible, asignable".
355,"inalienable, inalienable".
356,"inviolable, intangible, absoluto".
357,"no negociable".
358,"intransferible, inasignable, intransferible,"
359,"vivo, vivo".
360,"nacido vivo".
361,"viable".
362,"muerto".
363,"desaparecido, difunto, en reposo, en paz, dormido,"
364,"exsanguíneo, exsanguíneo, incruento".
365,"sin pulso, inanimado, sin aliento".
366,"frío".
367,"mortal, mortal".
368,"condenado".
369,"caído".
370,"tarde".
371,"sin vida, exanimado".
372,"inviable".
373,"nacido muerto".
374,"muerto a pedradas".
375,"ecrine".
376,"subartesiano".
377,"en vivo".
378,"vivir".
379,"muerto".
380,"fuera, extinguido".
381,"sin vida".
382,"analfabeto".
383,"precocial".
384,"desinteresado, altruista".
385,"egocéntrico, egocéntrico, egoísta, egoísta, egocéntrico,"
386,"auto-involucrado, auto-absorbido,"
387,"ambiguo".
388,"de doble capa, de doble capa".
389,"oracular, enigmático".
390,"zurdo".
391,"multivalente, multivaluado".
392,"incierto".
393,"sin ambigüedades".
394,"monosémico".
395,"ambicioso".
396,"insistente, insistente".
397,"deseoso, aspirante, aspirante".
398,"impulsado, determinado, compulsivo,"
399,"aspirante, manque".
400,"demasiado ambicioso".
401,"poco ambicioso, sin ambición".
402,"sin cambios".
403,"ametropic".
404,"generoso".
405,"tacaño, escaso, escaso, escaso, escaso,"
406,"sobrante, escaso, desnudo".
407,"exiguo".
408,"mano a mano".
409,"hardscrabble".
410,"anabólico".
411,"katabólico, catabólico".
412,"estigmático, anastigmático".
413,"analítico, analítico".
414,"sin reflejos, analítico".
415,"inflexión".
416,"derivativo".
417,"enojado".
418,"provocado, agravado".
419,"enloquecido, enfurecido, furioso, enfurecido, enojado,"
420,"negro".
421,"irascible, colérico".
422,"caliente bajo el cuello".
423,"doloroso, loco, gruñón".
424,"umbrageous, outraged, indignant, incensed,"
425,"horrible, iracundo".
426,"lívido".
427,"ardiente, ardiente".
428,"furioso, furioso, iracundo,"
429,"no enojado".
430,"resentido".
431,"amargo, agrio".
432,"rencoroso".
433,"sin resentimientos".
434,"desamargado".
435,"sensible, animado".
436,"Sensación".
437,"insensible, insensato".
438,"insensible".
439,"no vivo, no vivo, inanimado".
440,"animado, vivo".
441,"animado, animado".
442,"vital, animado, lleno de vida".
443,"revivido, reanimado".
444,"unánime".
445,"sin vida".
446,"wan".
447,"animado".
448,"animado".
449,"no animado".
450,"Anónimo, anónima."
451,"postmortem, postmortal".
452,"preventivo, anticipatorio".
453,"preexistente, preexistente, preexistente, preexistente".
454,"decurvado".
455,"precedente".
456,"arriba".
457,"arriba mencionado, arriba mencionado".
458,"consecutivos, espalda con espalda".
459,"precedido".
460,"sin examinar, nuevo".
461,"no prensil".
462,"prenatal, anteparto, prenatal".
463,"posparto, postnatal".
464,"retrógrado".
465,"anterogrado".
466,"apelable".
467,"inapelable".
468,"no aplazado".
469,"apetitoso, apetitoso".
470,"salado, sabroso, delicioso".
471,"poco apetitoso, poco apetitoso".
472,"accesible".
473,"inabordable".
474,"distante, distante".
475,"pat".
476,"inapropiado".
477,"inapropiado".
478,"equivocado, impropio".
479,"pagadero, cobrable, cobrable".
480,"atrasado, delincuente".
481,"indebido".
482,"debido".
483,"indebido".
484,"a propósito".
485,"pertinente, apto, apropiado".
486,"malaproposiciones".
487,"fuera de lugar, inapropiado".
488,"a priori".
489,"a posteriori".
490,"apteral".
491,"pórtico, anfistil, anfisprótilo, anfisprótilo".
492,"pseudopróstola, próstola".
493,"no arbitrable".
494,"Columna".
495,"columnar".
496,"columnata".
497,"pillado".
498,"sin columnas, sin columnas".
499,"astylar".
500,"sin relleno".
501,"no-arboreal".
502,"arenoso, arenoso, arenoso".
503,"arcilloso, arcilloso".
504,"armado".
505,"desarmado".
506,"con las manos desnudas".
507,"limpio".
508,"indefenso, indefenso".
509,"blindado, blindado".
510,"chapado en acero, blindado, blindado, blindado, blindado, blindado".
511,"chapado en hueso".
512,"a prueba de balas".
513,"enviado por correo, vestido por correo".
514,"armado".
515,"espinoso, espinoso, setoso, setaceo, espinoso, enterrado, enterrado, cerdoso, erizado, brioso, briqueta, barbacoa, barbacoa,"
516,"con cerdas".
517,"como un cepillo".
518,"así como".
519,"garras, garras".
520,"desarmado".
521,"sin espinas, sin espinas".
522,"como un brazo".
523,"blindado, blindado".
524,"cubierto de huesos".
525,"sin blindaje, sin armadura".
526,"sin escala".
527,"ingenioso".
528,"astuto, tramposo, tramposo, astuto, astuto, astuto, astuto, astuto, astuto, astuto, astuto, astuto,"
529,"precioso, lindo,"
530,"maquinando, diseñando".
531,"profundo".
532,"escurridizo".
533,"manipulador".
534,"pawky".
535,"sin arte".
536,"descuidado".
537,"articulado".
538,"de voz suave, de lengua plateada, plateada, fluida, fácil, elocuente,"
539,"con voz".
540,"desarticulado, inarticulado".
541,"afásico".
542,"sin voz, afónico".
543,"Lengua atada, incoherente,"
544,"sin palabras, sin hablar, sin lengua, mudo".
545,"sin palabras, tonto".
546,"no articulado".
547,"hablando".
548,"lengua".
549,"caminante, no hablador".
550,"articulado, articulado".
551,"no articulado".
552,"sin articulación".
553,"vergüenza".
554,"avergonzado, deshonrado, deshonrado, desacreditado,"
555,"mortificado, humillado, avergonzado,"
556,"avergonzado, avergonzado, perrito faldero, culpable,"
557,"vergonzoso, avergonzado".
558,"sin vergüenza".
559,"insolente, descarado, descarado, descarado, corpulento, descarado, calvo, audaz,"
560,"sin rubor, sin vergüenza".
561,"sin vergüenza, sin pudor".
562,"autoafirmante, autoafirmante, asertivo,"
563,"engreído".
564,"contundente, enfático".
565,"no asertivo".
566,"no asertivo".
567,"auto-disminuido, retirado, reticente".
568,"asociativo, asociativo".
569,"asociable".
570,"no asociativo".
571,"comprometido, adjunto".
572,"prometida, a medida".
573,"sin compromiso, sin ataduras".
574,"no prometido, no comprometido, no comprometido,"
575,"colocado".
576,"sin fijar, suelto".
577,"sin tallo, sésil".
578,"acechado, pedunculado".
579,"sésil".
580,"sin ataduras, natación libre".
581,"separado, independiente".
582,"desatascado".
583,"acoplable".
584,"bondable, bindable,"
585,"clip-on".
586,"desmontable".
587,"clásico".
588,"cauteloso".
589,"en guardia, en guardia, en guardia, en guardia".
590,"tímido".
591,"incauto".
592,"crédulo".
593,"sin vigilancia".
594,"atento".
595,"envuelto, intento, envuelto, absorbido, cautivo, absorbido,"
596,"atento, advertente".
597,"observador".
598,"demasiado solícito".
599,"solícito".
600,"desatento".
601,"raído, abstraído, distraído, ausente,"
602,"retrato, distraído".
603,"Recogida de lana, lunático, soñador,"
604,"bostezo, oscilación, somnolencia".
605,"inconsciente, olvidadizo".
606,"atractivo".
607,"fascinante, fascinante, cautivante, encantador, cautivante, embrujador,"
608,"magnético, carismático".
609,"lindo, astuto".
610,"dinky".
611,"picante, atractivo".
612,"ganar, tomar, buscar".
613,"vistoso, brillante".
614,"hechizante, hipnótico, hipnótico, hipnótico".
615,"irresistible".
616,"amigable".
617,"fotogénica".
618,"preposesión".
619,"guapo".
620,"poco atractivo".
621,"sencillo, casero".
622,"subfusc".
623,"no presentable, no poseedor".
624,"repulsivo".
625,"apelando".
626,"pegajoso, llamativo".
627,"atractivo".
628,"poco atractivo".
629,"fuera de lugar".
630,"poco atractivo".
631,"atribuible".
632,"referible, imputable, debido, atribuible,"
633,"no atribuible, no atribuible".
634,"no embarazada".
635,"audible, audible".
636,"inaudible, inaudible".
637,"sin voz, respiró".
638,"infrasónico".
639,"sin sonido, silencioso".
640,"ultrasónico, supersónico".
641,"no escuchado".
642,"auspicioso".
643,"prometedor, esperanzador, brillante,"
644,"rosado, afortunado,"
645,"desafortunado, poco propicio".
646,"poco prometedor".
647,"propicio".
648,"próspero, afortunado, dorado, favorable, favorable,"
649,"gracioso".
650,"no es rentable".
651,"ominoso, desfavorable, enfermo,"
652,"atronadora".
653,"autorizado, autorizado".
654,"glorificado, canonizado, canonizado,"
655,"no autorizado, no aprobado".
656,"sin licencia, sin autorización, no acreditada".
657,"inconstitucional".
658,"autoinducida".
659,"semiautomático, auto-carga, auto-carga".
660,"inteligente".
661,"manual".
662,"disponible".
663,"accesible".
664,"adquirible".
665,"direccionable".
666,"fácil".
667,"próximo".
668,"asequible, obtenible, obtenible, obtenible,"
669,"prestablecido".
670,"visible".
671,"a la mano".
672,"abrir".
673,"no disponible".
674,"intocable, inapropiado, inalcanzable, inaccesible,"
675,"fuera de stock".
676,"despierto".
677,"vigilante, insomne, insomne".
678,"bien despierto, sin dormir".
679,"Despierto, despierto".
680,"profundamente dormido, profundamente dormido".
681,"somnoliento, adormecido, dormido, dormido,"
682,"sin despertar".
683,"astringente".
684,"estíptica, hemostática".
685,"no intransigente".
686,"consciente, consciente, consciente".
687,"despierto, vivo, alerta".
688,"consciente".
689,"sensible".
690,"inconsciente, incógnita".
691,"inconsciente, inconsciente".
692,"inconsciente".
693,"desprevenido".
694,"witting".
695,"sin saberlo".
696,"alarmante".
697,"consternante, espantoso".
698,"feo, horrendo, horrible, espantoso, atroz,"
699,"terrible, horroroso, horrendo, espantoso, temible, espantoso, temible, espantoso, espantoso, espantoso, horrible,"
700,"amenazante, siniestro, ominoso, minador, minoso, amenazante, prohibitivo, maléfico,"
701,"pesadilla, peludo, espeluznante,"
702,"tembloroso, escalofríos, miedo, escalofríos,"
703,"espeluznante, espeluznante,"
704,"desconcertante, temible, formidable,"
705,"enfermo, macabro, espantoso, espantoso, sombrío, espantoso".
706,"peludo".
707,"petrificando".
708,"estupefaciente".
709,"aterrador, terrorífico".
710,"Desalarma".
711,"tranquilizador".
712,"calmante, asistencial".
713,"asegurar".
714,"consolar, consolar, consolar".
715,"preocupante, poco tranquilizador".
716,"dirigiendo".
717,"Tapa dura, tapa dura, tapa dura, tapa dura".
718,"alto respaldo".
719,"de bajo fondo".
720,"espina dorsal".
721,"sin espalda".
722,"reverso, inverso".
723,"retrógrado, retral".
724,"reverso, regreso".
725,"de cabeza, de cabeza".
726,"reverso".
727,"atrás".
728,"blate, tímido,"
729,"adelante".
730,"nervioso, descarado, descarado".
731,"auto-afirmante, engreído".
732,"demasiado familiar".
733,"sabio, inteligente, descarado, descarado, insolente, impertinente, fresco,"
734,"presuntuoso, presuntuoso, presumido".
735,"desbalanceado".
736,"sin barril, sin bala".
737,"pico".
738,"como un pico".
739,"pico de pato, pico de pato".
740,"de factura robusta".
741,"sin pico".
742,"de doble cama".
743,"sin cama".
744,"sin beneficio".
745,"como una hoja".
746,"no estratificado".
747,"ferny, ferned,"
748,"braky".
749,"ferny, como un helecho".
750,"sin ferviente"...
751,"cubierto de hierba".
752,"sedgelike, rushlike,"
753,"sedgy".
754,"sin hierba".
755,"no cazado".
756,"sin pelo".
757,"calvo, calvo, calvo".
758,"calvo".
759,"cara suave, sin barba".
760,"depilado".
761,"glabrescente".
762,"glabro".
763,"peludo, peludo, peludo,"
764,"canoso, canescente".
765,"de pelo grueso, de pelaje grueso".
766,"pelo oscuro, capa oscura".
767,"seroso, pubescente, puberulento, blando".
768,"peludo".
769,"borroso, borroso".
770,"lanoso, lanato".
771,"pappose".
772,"piloso, piloso, piloso".
773,"pelo liso".
774,"de pelo suave".
775,"de pelo duro".
776,"cabello grueso".
777,"de pelo aterciopelado, de pelo aterciopelado".
778,"de pelo lanudo, lanudo, de pelo lanudo, lanudo,"
779,"sin techo".
780,"soporte, carga".
781,"hermosa".
782,"hermosa".
783,"a la vista, bella, hermosa, bonita, bonnie".
784,"disimulado".
785,"exquisito".
786,"bienaventurado, bienaventurado, guapo, guapo, bien parecido, mejor parecido,"
787,"espléndido, espléndido, resplandeciente, glorioso,"
788,"magnífico".
789,"encantador".
790,"pintoresco".
791,"bonita".
792,"bonita-bonita".
793,"pulchritudinous".
794,"encantador".
795,"escénico".
796,"impresionante".
797,"feo".
798,"desfigurado".
799,"fugitivo".
800,"monstruoso, grotesco".
801,"repulsivo, horrible".
802,"scrofulous".
803,"inimaginable, poco atractivo".
804,"antiestético".
805,"belli".
806,"vientre plano, sin barriga".
807,"desbandado".
808,"banda".
809,"como un cinturón, como un cinturón".
810,"sin cinturón, sin cinturón".
811,"benéfico".
812,"benéfico".
813,"maléfico".
814,"nefasto, nefasto".
815,"maligno, malévolo, maléfico, malvado,"
816,"malicioso".
817,"vengativo, rencoroso, malévolo".
818,"Miradas lascivas".
819,"malévolo".
820,"ojos de abeja".
821,"gatuna, gatúbela, perra".
822,"vicioso, venenoso, venenoso".
823,"veneno".
824,"zorra".
825,"sin malicia".
826,"benigno, benigno".
827,"amablemente".
828,"maligno".
829,"canceroso".
830,"mejor".
831,"de alta calidad, de alto grado, de alto grado,"
832,"de clase mundial, en primer lugar,"
833,"óptimo, óptimo".
834,"primo".
835,"record de ruptura".
836,"el segundo mejor".
837,"superfino".
838,"insuperable, no superado, no superado".
839,"insuperable".
840,"peor".
841,"fondo".
842,"más bajo, último lugar, último".
843,"pesimista, pesimista".
844,"mejor".
845,"enmendado".
846,"más fino".
847,"mejorado".
848,"peor".
849,"empeoró".
850,"mejor".
851,"más saludable, más en forma".
852,"empeoró, empeoró".
853,"mejorando".
854,"meliorative, amelioratory, ameliorative, ameliorating,"
855,"correctivo".
856,"correctivo".
857,"empeorando".
858,"cara de bebé".
859,"calvo".
860,"destacado".
861,"cara larga".
862,"pug-faced".
863,"cara triste".
864,"cara dulce".
865,"sin rostro".
866,"anónimo".
867,"sin babero".
868,"con lóbulos profundos".
869,"dos lóbulos".
870,"cinco lóbulos".
871,"palmatalmente lóbulo".
872,"bimodal".
873,"dos orejas".
874,"nórdico".
875,"morena, morena".
876,"manchado".
877,"pustulado, espinillas, granos, acné".
878,"manchado".
879,"flyblown".
880,"cicatrizado, estropeado".
881,"picado de viruela, picado de viruela".
882,"sin mutilaciones, sin marcas, sin manchas".
883,"sin mancha, sin contaminación, sin mancha, inoxidable,"
884,"sangriento".
885,"sangriento, manchado de sangre".
886,"sanguinario, sanguinario, sediento de sangre".
887,"violento, rojo, carmesí".
888,"asesino, homicida".
889,"matanza, sanguinaria, sangrienta, sangrienta, carnicera".
890,"internecina".
891,"sin sangre".
892,"audaz".
893,"intrépido, intrépido, resistente, intrépido, intrépido, valiente, audaz,"
894,"temerario, temerario".
895,"envalentonado".
896,"imprudente, temerario, embriagador, temerario,"
897,"heroico, heroico".
898,"nervio".
899,"saltando, sobrepasando".
900,"sobrevalorado".
901,"tímido".
902,"tímido".
903,"tímido".
904,"trepidante, temeroso, temeroso,"
905,"intimidado".
906,"tímido, tímido".
907,"sin ataduras".
908,"desatada, sin grilletes, sin restricciones, sin cadenas,"
909,"sin ataduras".
910,"desatada, desabrochada".
911,"entrelazado, entrelazado".
912,"rootbound".
913,"desenredado".
914,"brassbound".
915,"bien atado".
916,"sin consolidar".
917,"Sordera".
918,"con bordes aserrados".
919,"spiny-edged".
920,"non-u".
921,"materialista, conservador, burgués".
922,"calidad".
923,"tweedy".
924,"bien nacido".
925,"valiente, valeroso".
926,"heroico, desesperado".
927,"galán".
928,"valiente, animoso, brioso, valiente, jugador, juego,"
929,"Corazón de león".
930,"valiente, robusto,"
931,"Impertérrito".
932,"valiente, valeroso".
933,"temeroso, cobarde".
934,"caitiff".
935,"vientre amarillo, amarillo, hígado blanco, hígado de lirio, corazón de pollo,"
936,"recreo, cobarde".
937,"ruin, ruin".
938,"tímido, pusilánime, pusilánime, pusilánime,"
939,"funky".
940,"poltroon".
941,"poco viril, pusilánime, de mal humor".
942,"valiente, valiente".
943,"sin agallas".
944,"aliento dulce".
945,"disneo, disneo, disneico, disneal, sin aliento".
946,"asfixiante".
947,"asfixiante, sofocante, asfixiante,"
948,"no cristalino".
949,"no cristalizado, no cristalizado, amorfo,"
950,"luz".
951,"brillante".
952,"candescente".
953,"iluminación".
954,"lívido".
955,"luminiscente".
956,"fosforescente".
957,"golpeado por el sol, iluminado por el sol".
958,"oscuro".
959,"Estigio, aceróntico, aceroniano".
960,"afoto".
961,"oscuro, negro, negro".
962,"caliginosa".
963,"cimmerio".
964,"crepuscular".
965,"oscuro".
966,"oscuro".
967,"tenue, tenue".
968,"crepúsculo, crepúsculo, oscuridad".
969,"enfurruñado, sombrío, lúgubre, sombrío,"
970,"sin luz, sin iluminación, sin luz, sin luz,"
971,"semidark".
972,"tenebroso, tenebroso, tenebrífico,"
973,"umbrageous, shady, shadowy, shadowed,"
974,"sin sombra".
975,"sin sombra".
976,"sin sombra".
977,"sin luna".
978,"puenteable".
979,"insalvable".
980,"brillante".
981,"nitid, gleaming, agleam,"
982,"luminoso, lucente, corderito, resplandeciente".
983,"refulgente, radiante, efulgente, radiante, radiante,"
984,"brillante, deslumbrante, fulgurante, deslumbrante, cegador, ardiente,"
985,"brillante como un centavo nuevo".
986,"brillante".
987,"ardiente".
988,"brillo".
989,"brillante, resplandeciente, lustroso, brillante, reluciente,"
990,"morboso".
991,"noctilucente".
992,"resbaladizo, liso, sedoso, como la seda, sedoso, satinado,"
993,"Shimmery".
994,"plateado, plateado, plateado".
995,"titilando".
996,"aburrido".
997,"mate, mate, mate, mate, plano".
998,"sin brillo, sin lustre, sin lustre, sin lustre".
999,"tenue, suave".
1000,"atenuado, atenuado".
1001,"sin obstáculos, brillante".
1002,"homofóbico".
1003,"ictericia".
1004,"cargado".
1005,"sin prejuicios, imparcial".
1006,"no racista, daltónico, daltónico".
1007,"de mente amplia".
1008,"tolerante, liberal, de mentalidad amplia,"
1009,"católico".
1010,"no dogmático, no dogmático, latitudinario, librepensador".
1011,"mente abierta".
1012,"mente estrecha, estrecha".
1013,"mente cerrada, mente cerrada,"
1014,"dogmática, dogmática".
1015,"intolerante, antiliberal".
1016,"auto-opinado, opinante, opinado,"
1017,"de mente pequeña, insignificante".
1018,"roto".
1019,"no cuidado, roto".
1020,"intacto, guardado".
1021,"roto".
1022,"punteado, punteado".
1023,"parando".
1024,"sólido".
1025,"enterrado, inhalado, enterrado".
1026,"sin enterrar".
1027,"ocupado".
1028,"Trabajando, trabajando, trabajando, trabajando como un esclavo".
1029,"ocupado, comprometido".
1030,"demasiado ocupado".
1031,"hasta".
1032,"ocioso".
1033,"Hueso loco, hueso viciado".
1034,"lackadaisical".
1035,"ocioso".
1036,"sin compromiso".
1037,"Bonelike".
1038,"de huesos fuertes".
1039,"deshuesado".
1040,"desabrochado, desabrochado,"
1041,"open-collared,"
1042,"capitalista, capitalista".
1043,"cacofónico, cacofónico".
1044,"áspero, áspero, rasposo, raspado, con grava, rallado,"
1045,"ronco, ronco, ronco".
1046,"jarring".
1047,"estridente, ruidoso".
1048,"eufónico, eufónico".
1049,"golden".
1050,"plateado, plateado".
1051,"calculable".
1052,"incalculable".
1053,"indeterminable".
1054,"calma".
1055,"imperturbable, tranquilo, quieto, suave, tranquilo, plácido,"
1056,"establecido".
1057,"sin viento".
1058,"tormenta".
1059,"salvaje, tempestuoso, furioso, furioso,"
1060,"emergente, ondulante, ondulante,"
1061,"tempestuoso, tempestuoso, tempestuoso".
